idpedido;cliente;idempleado;idempresa;importe;pais
10885;SUPRD;6;3;5.64;Belgica
10886;HANAR;1;1;4.99;Brasil
10887;GALED;8;3;1.25;Espanya
10888;GODOS;1;2;51.87;Espanya
10889;RATTC;9;3;280.61;Estados Unidos
10890;DUMON;7;1;32.76;Francia
10891;LEHMS;7;2;20.37;Alemania
10892;MAISD;4;2;120.27;Belgica
10893;KOENE;9;2;77.78;Alemania
10894;SAVEA;1;1;116.13;Estados Unidos
10895;ERNSH;3;1;162.75;Austria
10896;MAISD;7;3;32.45;Belgica
10897;HUNGO;3;2;603.54;Irlanda
10898;OCEAN;4;2;1.27;Argentina
10899;LILAS;5;3;1.21;Venezuela
10900;WELLI;1;2;1.66;Brasil
10901;HILAA;4;1;62.09;Venezuela
10902;FOLKO;1;1;44.15;Suecia
10903;HANAR;3;3;36.71;Brasil
10904;WHITC;3;3;162.95;Estados Unidos
10905;WELLI;9;2;13.72;Brasil
10906;WOLZA;4;3;26.29;Polonia
10907;SPECD;6;3;9.19;Francia
10908;REGGC;4;2;32.96;Italia
10909;SANTG;1;2;53.05;Noruega
10910;WILMK;1;3;38.11;Finlandia
10911;GODOS;3;1;38.19;Espanya
10912;HUNGO;2;2;580.91;Irlanda
10913;QUEEN;4;1;33.05;Brasil
10914;QUEEN;6;1;21.19;Brasil
10915;TORTU;2;2;3.51;Mexico
10916;RANCH;1;2;63.77;Argentina
10917;ROMEY;4;2;8.29;Espanya
10918;BOTTM;3;3;48.83;Canada
10919;LINOD;2;2;19.80;Venezuela
10920;AROUT;4;2;29.61;Reino Unido
10921;VAFFE;1;1;176.48;Dinamarca
10922;HANAR;5;3;62.74;Brasil
10923;LAMAI;7;3;68.26;Francia
10924;BERGS;3;2;151.52;Suecia
10925;HANAR;3;1;2.27;Brasil
10926;ANATR;4;3;39.92;Mexico
10927;LACOR;4;1;19.79;Francia
10928;GALED;1;1;1.36;Espanya
10929;FRANK;6;1;33.93;Alemania
10930;SUPRD;4;3;15.55;Belgica
10931;RICSU;4;2;13.60;Suiza
10932;BONAP;8;1;134.64;Francia
10933;ISLAT;6;3;54.15;Reino Unido
10934;LEHMS;3;3;32.01;Alemania
10935;WELLI;4;3;47.59;Brasil
10936;GREAL;3;2;33.68;Estados Unidos
10937;CACTU;7;3;31.51;Argentina
10938;QUICK;3;2;31.89;Alemania
10939;MAGAA;2;2;76.33;Italia
10940;BONAP;8;3;19.77;Francia
10941;SAVEA;7;2;400.81;Estados Unidos
10942;REGGC;9;3;17.95;Italia
10943;BSBEV;4;2;2.17;Reino Unido
10944;BOTTM;6;3;52.92;Canada
10945;MORGK;4;1;10.22;Alemania
10946;VAFFE;1;2;27.20;Dinamarca
10947;BSBEV;3;2;3.26;Reino Unido
10948;GODOS;3;3;23.39;Espanya
10949;BOTTM;2;3;74.44;Canada
10950;MAGAA;1;2;2.50;Italia
10951;RICSU;9;2;30.85;Suiza
10952;ALFKI;1;1;40.42;Alemania
10953;AROUT;9;2;23.72;Reino Unido
10954;LINOD;5;1;27.91;Venezuela
10955;FOLKO;8;2;3.26;Suecia
10956;BLAUS;6;2;44.65;Alemania
10957;HILAA;8;3;105.36;Venezuela
10958;OCEAN;7;2;49.56;Argentina
10959;GOURL;6;2;4.98;Brasil
10960;HILAA;3;1;2.08;Venezuela
10961;QUEEN;8;1;104.47;Brasil
10962;QUICK;8;2;275.79;Alemania
10963;FURIB;9;3;2.70;Portugal
10964;SPECD;3;2;87.38;Francia
10965;OLDWO;6;3;144.38;Estados Unidos
10966;CHOPS;4;1;27.19;Suiza
10967;TOMSP;2;2;62.22;Alemania
10968;ERNSH;1;3;74.60;Austria
10969;COMMI;1;2;0.21;Brasil
10970;BOLID;9;1;16.16;Espanya
10971;FRANR;2;2;121.82;Francia
10972;LACOR;4;2;0.02;Francia
10973;LACOR;6;2;15.17;Francia
10974;SPLIR;3;3;12.96;Estados Unidos
10975;BOTTM;1;3;32.27;Canada
10976;HILAA;1;1;37.97;Venezuela
10977;FOLKO;8;3;208.50;Suecia
10978;MAISD;9;2;32.82;Belgica
10979;ERNSH;8;2;353.07;Austria
10980;FOLKO;4;1;1.26;Suecia
10981;HANAR;1;2;193.37;Brasil
10982;BOTTM;2;1;14.01;Canada
10983;SAVEA;2;2;657.54;Estados Unidos
10984;SAVEA;1;3;211.22;Estados Unidos
10985;HUNGO;2;1;91.51;Irlanda
10986;OCEAN;8;2;217.86;Argentina
10987;EASTC;8;1;185.48;Reino Unido
10988;RATTC;3;2;61.14;Estados Unidos
10989;QUEDE;2;1;34.76;Brasil
10990;ERNSH;2;3;117.61;Austria
10991;QUICK;1;1;38.51;Alemania
10992;THEBI;1;3;4.27;Estados Unidos
10993;FOLKO;7;3;8.81;Suecia
10994;VAFFE;2;3;65.53;Dinamarca
10995;PERIC;1;3;46.00;Mexico
10996;QUICK;4;2;1.12;Alemania
10997;LILAS;8;2;73.91;Venezuela
10998;WOLZA;8;2;20.31;Polonia
10999;OTTIK;6;2;96.35;Alemania
11000;RATTC;2;3;55.12;Estados Unidos
11001;FOLKO;2;2;197.30;Suecia
11002;SAVEA;4;1;141.16;Estados Unidos
11003;THECR;3;3;14.91;Estados Unidos
11004;MAISD;3;1;44.84;Belgica
11005;WILMK;2;1;0.75;Finlandia
11006;GREAL;3;2;25.19;Estados Unidos
11007;PRINI;8;2;202.24;Portugal
11008;ERNSH;7;3;79.46;Austria
11009;GODOS;2;1;59.11;Espanya
11010;REGGC;2;2;28.71;Italia
11011;ALFKI;3;1;1.21;Alemania
11012;FRANK;1;3;242.95;Alemania
11013;ROMEY;2;1;32.99;Espanya
11014;LINOD;2;3;23.60;Venezuela
11015;SANTG;2;2;4.62;Noruega
11016;AROUT;9;2;33.80;Reino Unido
11017;ERNSH;9;2;754.26;Austria
11018;LONEP;4;2;11.65;Estados Unidos
11019;RANCH;6;3;3.17;Argentina
11020;OTTIK;2;2;43.30;Alemania
11021;QUICK;3;1;297.18;Alemania
11022;HANAR;9;2;6.27;Brasil
11023;BSBEV;1;2;123.83;Reino Unido
11024;EASTC;4;1;74.36;Reino Unido
11025;WARTH;6;3;29.17;Finlandia
11026;FRANS;4;1;47.09;Italia
11027;BOTTM;1;1;52.52;Canada
11028;KOENE;2;1;29.59;Alemania
11029;CHOPS;4;1;47.84;Suiza
11030;SAVEA;7;2;830.75;Estados Unidos
11031;SAVEA;6;2;227.22;Estados Unidos
11032;WHITC;2;3;606.19;Estados Unidos
11033;RICSU;7;3;84.74;Suiza
11034;OLDWO;8;1;40.32;Estados Unidos
11035;SUPRD;2;2;0.17;Belgica
11036;DRACD;8;3;149.47;Alemania
11037;GODOS;7;1;3.20;Espanya
11038;SUPRD;1;2;29.59;Belgica
11039;LINOD;1;2;65.00;Venezuela
11040;GREAL;4;3;18.84;Estados Unidos
11041;CHOPS;3;2;48.22;Suiza
11042;COMMI;2;1;29.99;Brasil
11043;SPECD;5;2;8.80;Francia
11044;WOLZA;4;1;8.72;Polonia
11045;BOTTM;6;2;70.58;Canada
11046;WANDK;8;2;71.64;Alemania
11047;EASTC;7;3;46.62;Reino Unido
11048;BOTTM;7;3;24.12;Canada
11049;GOURL;3;1;8.34;Brasil
11050;FOLKO;8;2;59.41;Suecia
11051;LAMAI;7;3;2.79;Francia
11052;HANAR;3;1;67.26;Brasil
11053;PICCO;2;2;53.05;Austria
11054;CACTU;8;1;0.33;Argentina
11055;HILAA;7;2;120.92;Venezuela
11056;EASTC;8;2;278.96;Reino Unido
11057;NORTS;3;3;4.13;Reino Unido
11058;BLAUS;9;3;31.14;Alemania
11059;RICAR;2;2;85.80;Brasil
11060;FRANS;2;2;10.98;Italia
11061;GREAL;4;3;14.01;Estados Unidos
11062;REGGC;4;2;29.93;Italia
11063;HUNGO;3;2;81.73;Irlanda
11064;SAVEA;1;1;30.09;Estados Unidos
11065;LILAS;8;1;12.91;Venezuela
11066;WHITC;7;2;44.72;Estados Unidos
11067;DRACD;1;2;7.98;Alemania
11068;QUEEN;8;2;81.75;Brasil
11069;TORTU;1;2;15.67;Mexico
11070;LEHMS;2;1;136.00;Alemania
11071;LILAS;1;1;0.93;Venezuela
11072;ERNSH;4;2;258.64;Austria
11073;PERIC;2;2;24.95;Mexico
11074;SIMOB;7;2;18.44;Dinamarca
11075;RICSU;8;2;6.19;Suiza
11076;BONAP;4;2;38.28;Francia
11077;RATTC;1;2;8.53;Estados Unidos
